SAPT_Induction,MD_Induction,DimerID
-3.691599999999999960e-04,-4.151782206110480808e-04,4.260000000000000000e+02
-1.132700000000000048e-04,-9.148325594646522572e-05,4.280000000000000000e+02
-4.029669000000000306e-02,-2.791358753606777363e-02,4.300000000000000000e+01
-2.051199999999999877e-04,-1.609620014635244597e-04,4.300000000000000000e+02
-8.702999999999999853e-05,-5.907729379289908365e-05,4.320000000000000000e+02
-1.205000000000000016e-04,-1.021833565439902352e-04,4.360000000000000000e+02
-9.760999999999999549e-05,-9.674425816570446574e-05,4.370000000000000000e+02
-1.037500000000000011e-04,-9.980396623348763605e-05,4.380000000000000000e+02
-1.026500000000000014e-04,-8.087366425982947017e-05,4.390000000000000000e+02
-5.127000000000000210e-05,-5.133624390102879296e-05,4.400000000000000000e+02
-9.498000000000000203e-05,-6.938582800723303685e-05,4.420000000000000000e+02
-1.449900000000000060e-04,-1.439898422232097866e-04,4.440000000000000000e+02
-7.131000000000000674e-05,-7.864613821149574776e-05,4.490000000000000000e+02
-7.273459999999999821e-03,-5.915025559042861453e-03,4.500000000000000000e+01
-8.043000000000000073e-05,-7.636161412265555712e-05,4.510000000000000000e+02
-1.390599999999999866e-04,-1.125922078180269698e-04,4.520000000000000000e+02
-6.914000000000000549e-05,-9.124267744388015887e-05,4.530000000000000000e+02
-4.635000000000000177e-05,-5.089707457504982069e-05,4.540000000000000000e+02
-1.200699999999999939e-04,-1.117950447971058402e-04,4.560000000000000000e+02
-9.967999999999999430e-05,-1.250468083797458957e-04,4.570000000000000000e+02
-1.088599999999999979e-04,-8.945174843994179847e-05,4.580000000000000000e+02
-4.991099999999999834e-04,-5.278417222033335169e-04,4.600000000000000000e+02
-1.998299999999999892e-04,-1.908183360380497778e-04,4.620000000000000000e+02
-1.789000000000000117e-04,-1.442965793405962232e-04,4.640000000000000000e+02
-1.699100000000000046e-04,-1.460168330404003117e-04,4.650000000000000000e+02
-6.402000000000000030e-05,-7.435634412840931248e-05,4.660000000000000000e+02
-8.077999999999999569e-05,-8.641478928223519441e-05,4.670000000000000000e+02
-3.864450000000000177e-03,-3.353664380855974486e-03,4.700000000000000000e+01
-8.995000000000000445e-05,-1.104530268741990003e-04,4.720000000000000000e+02
-5.750000000000000174e-05,-7.659192305073935783e-05,4.730000000000000000e+02
-1.868299999999999985e-04,-1.775789679024009006e-04,4.740000000000000000e+02
-1.043099999999999957e-04,-9.205727885120162685e-05,4.760000000000000000e+02
-1.570499999999999956e-04,-1.831508430217055640e-04,4.780000000000000000e+02
-4.279900000000000002e-04,-4.366699844409382622e-04,4.800000000000000000e+02
-6.550000000000000646e-05,-6.627452460228875665e-05,4.820000000000000000e+02
-5.294899999999999737e-04,-5.470434122745299315e-04,4.840000000000000000e+02
-1.985800000000000130e-04,-1.925624951832060347e-04,4.850000000000000000e+02
-1.051900000000000008e-04,-1.182377226782698333e-04,4.860000000000000000e+02
-7.974000000000000565e-05,-9.264087809666041412e-05,4.870000000000000000e+02
-6.799000000000000464e-05,-8.046300166977947302e-05,4.890000000000000000e+02
-3.464309999999999959e-03,-2.764920302627215960e-03,4.900000000000000000e+01
-1.708099999999999994e-04,-1.633265769298118003e-04,4.910000000000000000e+02
-6.305000000000000112e-05,-8.555506072435299886e-05,4.920000000000000000e+02
-6.148999999999999572e-05,-8.752799210025229647e-05,4.950000000000000000e+02
-2.691600000000000047e-04,-2.951319118584717774e-04,4.980000000000000000e+02
-3.040134999999999921e-01,-1.849935072704312622e-01,5.000000000000000000e+00
-1.640279999999999863e-02,-2.031044375716981043e-02,5.000000000000000000e+01
-6.446999999999999769e-05,-7.151571075307607277e-05,5.000000000000000000e+02
-7.964000000000000321e-05,-7.283505994655722925e-05,5.010000000000000000e+02
-3.425699999999999947e-04,-3.497250163905378018e-04,5.020000000000000000e+02
-9.346000000000000303e-05,-8.021166062096133124e-05,5.040000000000000000e+02
-8.275000000000000563e-05,-7.783098551485158876e-05,5.060000000000000000e+02
-3.435570000000000204e-03,-2.935395587782780279e-03,5.100000000000000000e+01
-2.197199999999999902e-04,-2.334283110527831555e-04,5.160000000000000000e+02
-2.857360000000000195e-03,-2.302256239533187476e-03,5.300000000000000000e+01
-7.731999999999999832e-05,-5.868302293412487548e-05,5.310000000000000000e+02
-7.689999999999999896e-05,-9.978398565351760229e-05,5.350000000000000000e+02
-4.207000000000000209e-05,-5.083880078001929039e-05,5.370000000000000000e+02
-6.043119999999999915e-03,-5.219735142974510356e-03,5.400000000000000000e+01
-9.514000000000000050e-05,-1.050298507482192681e-04,5.430000000000000000e+02
-7.315999999999999749e-05,-8.259539925351474794e-05,5.440000000000000000e+02
-2.367199999999999968e-04,-2.483786304347095899e-04,5.490000000000000000e+02
-7.895829999999999516e-03,-6.356745868500337203e-03,5.500000000000000000e+01
-4.411999999999999771e-05,-7.170732165458940739e-05,5.520000000000000000e+02
-1.268499999999999934e-04,-1.255319782642917996e-04,5.590000000000000000e+02
-4.255999999999999909e-05,-6.820219865420167201e-05,5.650000000000000000e+02
-1.442755000000000079e-02,-1.184961536853953480e-02,5.700000000000000000e+01
-8.896999999999999690e-05,-7.367313108459676090e-05,5.780000000000000000e+02
-6.632999999999999682e-05,-6.227551216009639273e-05,5.790000000000000000e+02
-2.304319999999999893e-03,-1.933757826185317349e-03,5.800000000000000000e+01
-6.914789999999999652e-03,-5.620677485241188515e-03,5.900000000000000000e+01
-6.591882000000000297e-02,-5.473138350471712377e-02,6.000000000000000000e+00
-8.967370000000000549e-03,-7.565824564764915029e-03,6.000000000000000000e+01
-6.271419999999999773e-03,-6.145450874695273895e-03,6.100000000000000000e+01
-5.759999999999999739e-05,-7.124501660427993532e-05,6.130000000000000000e+02
-4.297999999999999846e-05,-6.227922012634003917e-05,6.160000000000000000e+02
-6.462980000000000114e-03,-5.341532675538289768e-03,6.200000000000000000e+01
-4.922100000000000433e-03,-4.218508388441668741e-03,6.400000000000000000e+01
-2.873999999999999927e-05,-4.591764012382794141e-05,6.440000000000000000e+02
-5.508865999999999763e-02,-4.644976414142674981e-02,6.500000000000000000e+01
-1.800500000000000126e-04,-2.070432867494831700e-04,6.630000000000000000e+02
-4.121000000000000016e-05,-7.391338958023234049e-05,6.650000000000000000e+02
-4.166320000000000266e-03,-3.592463610427968322e-03,6.700000000000000000e+01
-1.314800000000000083e-04,-1.608808950507645611e-04,6.760000000000000000e+02
-6.664729999999999786e-03,-5.891493442942504107e-03,6.800000000000000000e+01
-7.529663000000000328e-02,-5.810223610064834537e-02,7.000000000000000000e+00
-1.104991000000000029e-01,-9.402987093379634731e-02,7.000000000000000000e+01
-2.102829999999999977e-03,-1.756315458125323314e-03,7.100000000000000000e+01
-7.305000000000000024e-05,-1.066540669229497791e-04,7.110000000000000000e+02
-1.232610000000000086e-03,-1.086337461627613458e-03,7.200000000000000000e+01
-2.913000000000000062e-05,-3.724029413037411196e-05,7.210000000000000000e+02
-6.846900000000000382e-03,-5.737080694616778463e-03,7.300000000000000000e+01
-2.673514999999999919e-02,-2.508186311230219123e-02,7.400000000000000000e+01
-1.636230000000000019e-03,-1.469619064732264604e-03,7.500000000000000000e+01
-2.010000000000000068e-05,-4.206639582269409988e-05,7.580000000000000000e+02
-1.262539999999999930e-03,-1.048330141230955628e-03,7.600000000000000000e+01
-9.513000000000000568e-05,-1.257239599431912908e-04,7.620000000000000000e+02
-2.934519999999999924e-03,-2.661168973657099604e-03,7.800000000000000000e+01
-7.540145799999999898e-01,-3.062007403686682894e-01,8.000000000000000000e+00
-1.973110000000000142e-03,-1.607072959568213704e-03,8.000000000000000000e+01
-1.239939999999999922e-03,-1.114120703520230914e-03,8.300000000000000000e+01
-2.054729999999999838e-03,-1.715618103179367745e-03,8.400000000000000000e+01
-3.138909999999999964e-03,-3.016749867162868415e-03,8.500000000000000000e+01
-2.746310000000000071e-03,-2.358276761716410728e-03,8.600000000000000000e+01
-2.083030000000000038e-03,-1.729270706645407753e-03,8.700000000000000000e+01
-9.476639999999999717e-03,-7.939301711116500057e-03,8.800000000000000000e+01
-1.003379199999999971e-01,-7.758816391155005932e-02,9.000000000000000000e+00
-3.542959999999999946e-03,-2.896473693176496340e-03,9.100000000000000000e+01
-4.489110000000000149e-03,-4.202438694766233440e-03,9.300000000000000000e+01
-1.285200000000000014e-03,-1.069247947141141290e-03,9.400000000000000000e+01
-1.910919999999999980e-03,-1.862210070114066239e-03,9.600000000000000000e+01
-2.230370000000000182e-03,-1.941528498702117236e-03,9.800000000000000000e+01
-2.902430000000000114e-03,-2.623438958107054703e-03,9.900000000000000000e+01
